State,County,Democratic,Republican,Party
TX,floyd,965.9627637519334,1955.3611352486696,0
TX,foard,708.7267035036602,1572.6596678156347,0
TX,fort bend,203572.3535254452,87908.00178450841,1
TX,franklin,1714.4418079589195,3235.259988498812,0
TX,freestone,975.1957708104783,3999.012377592431,0
TX,gaines,63.68711517345582,1672.65468761374,0
TX,galveston,60267.83211509719,50749.221599189535,0
TX,garza,-787.646955565102,1318.7460315120916,0
TX,glasscock,682.6446030774387,1497.0670752301921,0
TX,goliad,1235.7436757207215,2882.8665711345784,0
TX,gonzales,1057.480441827247,3181.1640132496286,0
TX,gray,1178.1923189674744,4788.475645397504,0
TX,grayson,18314.504991850146,24438.64395768817,0
TX,grimes,240.99554431959405,4292.500728931454,0
TX,guadalupe,25662.929741389955,27529.33013287264,0
TX,hale,1441.2180792848012,5221.000152597595,0
TX,hamilton,1766.2085671941677,2648.0805712426263,0
TX,hardin,6733.241224984988,11849.472318013075,0
TX,harris,721699.6031809471,403828.7910636913,1
TX,harrison,7632.01084229552,9683.877215444618,0
TX,hartley,490.70123051455084,2218.7482871616667,0
TX,hays,45231.50572505398,33417.44008070743,1
TX,hemphill,1186.7026217226448,1895.5781611713865,0
TX,henderson,9750.997261913455,13719.969411263188,0
TX,hill,3653.667000262558,6227.12449697607,0
TX,hockley,2001.258213673169,4464.316320925731,0
TX,hood,10504.294014636254,11735.052083824323,0
TX,houston,1192.935737649801,4118.34354210962,0
TX,hudspeth,307.743720801951,1246.3495978326027,0
TX,hunt,9808.075398792189,14848.124542694484,0
TX,hutchinson,2467.9705419276834,5340.656319270038,0
TX,irion,717.1808946178644,1753.644898096165,0
TX,jack,230.45989204586294,2634.858384683139,0
TX,jackson,2079.0041965933124,3768.6996121168977,0
TX,jeff davis,1163.2058337508097,1628.16183050572,0
TX,jim hogg,569.8783605895842,2008.6263914494193,1
TX,johnson,16869.763904895728,28098.76952883264,0
TX,jones,-2247.860856036881,3580.839522770588,0
